id,ip_address,hasCliques,asn
63,54.190.253.12,1010,16509
47,54.186.73.52,959,16509
61,52.25.71.90,940,16509
53,54.218.44.232,933,16509
41,54.186.248.91,900,16509
45,54.218.154.177,795,16509
56,54.245.168.196,761,16509
5,54.213.156.82,656,16509
21,54.202.12.93,593,16509
28,54.203.128.96,579,16509
46,34.213.185.56,576,16509
24,54.202.39.36,552,16509
35,54.244.69.36,544,16509
14,54.213.149.26,543,16509
54,34.214.5.202,512,16509
44,54.202.1.233,503,16509
33,54.218.232.1,502,16509
407,35.158.96.209,480,16509
55,54.212.236.161,476,16509
13,54.203.8.192,465,16509
30,54.202.39.236,461,16509
177,52.79.141.73,450,16509
85,52.78.78.122,430,16509
37,54.245.40.248,411,16509
25,54.200.82.201,390,16509
159,34.210.87.206,387,16509
75,54.183.39.193,39,16509
806,3.16.14.85,31,16509
985,35.178.133.252,29,16509
1006,3.114.81.2,25,16509
398,18.138.222.231,23,16509
375,18.202.60.84,22,16509
676,54.169.209.7,21,16509
903,34.253.200.96,20,16509
414,3.114.9.58,19,16509
921,54.229.48.248,19,16509
264,54.180.20.32,18,16509
323,63.35.248.17,18,16509
668,54.201.131.213,18,16509
354,54.95.74.116,18,16509
498,52.213.33.138,18,16509
256,34.253.41.169,17,16509
104,34.251.214.152,17,16509
743,46.51.230.87,16,16509
262,13.251.47.174,16,16509
732,3.14.13.108,15,16509
353,54.249.154.139,15,16509
200,34.241.110.10,14,16509
501,3.15.20.1,14,16509
368,13.124.159.175,13,16509
72,18.188.177.78,13,16509
585,35.163.138.168,13,16509
446,13.251.201.26,12,16509
592,18.188.177.78,12,16509
537,18.179.11.84,12,16509
106,63.32.122.188,12,16509
88,34.241.39.53,12,16509
637,54.92.104.198,12,16509
110,52.221.246.62,12,16509
895,34.244.53.190,12,16509
464,54.254.234.221,12,16509
574,52.79.78.108,11,16509
402,3.122.170.138,11,16509
547,34.211.150.101,11,16509
360,54.250.242.107,11,16509
449,54.185.9.71,10,16509
137,54.254.254.137,10,16509
742,34.241.17.80,10,16509
226,13.124.116.12,10,16509
349,13.230.61.80,10,16509
57,18.237.246.168,9,16509
363,13.209.131.99,8,16509
524,52.76.255.213,8,16509
335,54.169.103.246,8,16509
329,13.125.62.70,8,16509
1037,3.112.252.116,8,16509
197,52.69.75.192,8,16509
249,99.81.71.172,8,16509
116,13.230.131.233,8,16509
807,52.196.181.97,7,16509
639,3.114.23.101,7,16509
176,108.128.253.165,7,16509
636,3.113.42.116,7,16509
657,13.251.95.40,7,16509
130,54.180.146.153,7,16509
484,18.136.90.255,7,16509
1021,18.196.253.165,7,16509
572,34.251.214.152,7,16509
539,13.234.84.46,6,16509
727,13.251.85.212,6,16509
543,63.34.102.148,6,16509
1016,52.199.54.69,6,16509
582,13.229.13.48,6,16509
413,52.77.244.93,6,16509
1031,18.182.73.58,6,16509
684,13.251.3.199,6,16509
786,18.136.197.76,6,16509
1047,52.79.110.54,6,16509
661,54.179.169.235,6,16509
273,52.198.187.80,6,16509
717,52.198.140.165,6,16509
250,52.199.80.189,6,16509
651,3.120.171.223,5,16509
841,18.197.75.53,5,16509
997,3.17.75.40,5,16509
1023,3.120.182.179,5,16509
460,3.1.152.252,5,16509
516,52.193.104.31,5,16509
105,13.115.250.181,5,16509
453,54.64.210.239,5,16509
566,13.115.18.136,5,16509
296,13.124.68.17,5,16509
268,18.162.81.113,5,16509
706,3.113.103.103,5,16509
391,3.122.162.127,5,16509
851,34.244.52.48,5,16509
359,52.210.0.59,5,16509
215,18.139.12.211,5,16509
820,52.79.110.152,5,16509
419,34.215.168.234,5,16509
164,54.169.1.63,5,16509
1042,52.196.126.86,5,16509
165,3.0.219.49,5,16509
522,3.112.138.57,4,16509
530,54.77.43.72,4,16509
538,54.154.207.79,4,16509
814,13.230.138.109,4,16509
705,18.228.54.180,4,16509
640,13.251.51.107,4,16509
641,13.115.200.130,4,16509
823,35.158.100.71,4,16509
686,3.112.138.57,4,16509
664,18.191.205.162,4,16509
740,52.13.203.98,4,16509
865,3.17.75.40,4,16509
731,54.254.236.45,4,16509
730,34.253.76.9,4,16509
626,35.183.88.251,4,16509
631,3.113.127.188,4,16509
